file_names,participant_ID,num_rows,payment,avg_resp_time
averaging_3ZZAYRN1I7FDPC1LZ995RVA2BZXOTD_A2DIC0HKUOATSA_3JRJSWSMQJ9P1OOWGI5KSQ86IFKE3V_results.csv,1,300,4.0,427.80477866667417
averaging_3VCK0Q0PO62URI4I0SLISV8SODGN04_A3FTLRRBNAVLJ8_33CKWXB73L8U7KG5HQWMXDAFVM511A_results.csv,2,300,5.0,724.9141546670619
averaging_3D42WVSDH9JF0LNMACDECIT3ZXOYFL_A3MKQR5WVPT3C4_3GNA64GUZGSHC6153SOD14V4FO9Q53_results.csv,3,180,6.0,1056.9334499999961
averaging_3UEBBGULPGCYJC3H0BGP9XNQ2B1UFA_A38HVPKCR10RG1_3F1567XTNYT0DT3H6I1UDK061A5Q9N_results.csv,4,300,2.0,647.1575646666755
averaging_3UQVX1UPFT5Y2WFPE9NY075UEMQ020_A3MKQR5WVPT3C4_3M0BCWMB8XKOLJE0GBEWWFDIDCQBWP_results.csv,5,300,6.0,403.17734833331554
averaging_3VW0145YLZ0VB6K4AZGOXLYOKF1JM0_A3MKQR5WVPT3C4_3A1COHJ8NLJNMVL4I08M4ADUQUBH83_results.csv,6,180,2.0,458.49872666666647
averaging_32FESTC2NIERG0J799QO1R2N6VXCU0_A3BDBXNO8N6XCH_31UV0MXWNS04V8DMQKJ4S24IOEFI5F_results.csv,7,180,5.0,512.8560861111132
averaging_3UQVX1UPFT5Y2WFPE9NY075UDCZ20Q_A3MKQR5WVPT3C4_3K772S5NPAZ4VWVVV3UMWK9G1IXHEW_results.csv,8,300,4.0,416.5821256666549
averaging_31SIZS5W5A33U919AXWEGL4K2DFRQ4_A3MKQR5WVPT3C4_3X66WABAJY6NL2KNMDV8STTIVVPG34_results.csv,9,300,2.0,474.52058899999497
averaging_3W31J70BATKDD4EVFVMMV4TP38RKCA_AHFEK3JET9QQT_3Z4XG4ZF4AFK8LLJN4Q87W1OE8B8XG_results.csv,10,300,3.0,5157.334940000196
averaging_30IRMPJWD07HJ63EXSCHKZSB41SKRZ_A3MKQR5WVPT3C4_3A0EX8ZRNACSAO90VCWKHCYYOS2BYG_results.csv,11,180,5.0,402.8466800000044
averaging_31S7M7DAGHE5JRYOMHTDZE68HMGLT2_A38HVPKCR10RG1_3TOK3KHVJV6TEY28C8B6AJE0RSJ7OM_results.csv,12,180,4.0,476.0276922222146
averaging__SILVIOTEST__results.csv,13,180,2.0,822.4485961111117
averaging_3PUV2Q8SV5SMPTGF9E44G7SH2ASDBA_A3MKQR5WVPT3C4_3BQU611VFR8ULUMVPGQ8RPAHRKD99G_results.csv,14,180,5.0,552.403428888883
averaging_37VHPF5VYDRTI3CU66PJ5ZKY88I8C0_A3K74MQDRJ5556_39GHHAVOMHFIU0TSUXLUZBD41NB4JQ_results.csv,15,300,2.0,2298.1448506667152
averaging_3OND0WXMHX318CX151PK80D0XWDEHT_A2DIC0HKUOATSA_3L0KT67Y8G4RRAQ26YIF718YSH5YSN_results.csv,16,180,5.0,466.129457777785
averaging_3GONHBMNHWMLBLP8SLJALFME1UPMZV_A3BDBXNO8N6XCH_3JPSL1DZ5UNTFF0UIWND5LGL2HBNAN_results.csv,17,300,6.0,445.57830900000107
